Arbol,orden 1,Arbol,orden 2,Arbol,orden 3,Arbol,orden 4
351,0.318952262,129,0.418918937,45,0.41984731,5,0.516262054
352,0.333861381,162,0.423480093,94,0.404473424,18,0.502299905
372,0.346641064,223,0.398030967,290,0.466729581,24,0.487940639
374,0.281036824,261,0.440726578,298,0.460273981,122,0.508633435
375,0.265486747,265,0.475916892,320,0.488111883,137,0.545273662
376,0.226211846,285,0.413612545,323,0.432236016,206,0.481445313
377,0.231268227,296,0.395683467,332,0.473422766,213,0.529355109
378,0.255138218,307,0.46265763,356,0.414233595,311,0.494978458
379,0.350527555,488,0.454368919,359,0.426270753,394,0.464632452
402,0.301492542,492,0.490282655,405,0.446262687,490,0.473145783
