ID Arbol,16-Sep,ene17,17-Sep,ene18,18-Sep,ene19,19-Sep,ene20
1,0.479166655,0.525191461,0.517025437,0.56947444,0.507015554,0.50786608,0.467801622,0.482960419
2,0.531443759,0.568764573,0.574306343,0.594343149,0.587761683,0.564008181,0.529364783,0.521613837
3,0.514298697,0.579992053,0.572838543,0.581342435,0.59277918,0.54838708,0.512016284,0.532690255
4,0.509417058,0.579642582,0.58166411,0.57667549,0.602137291,0.540709802,0.523922507,0.550139282
5,0.516262027,0.570050173,0.559683796,0.593866874,0.594311982,0.523019475,0.526717561,0.522651919
6,0.401923876,0.611837573,0.534830614,0.56919802,0.535245904,0.419432217,0.464025876,0.504593625
7,0.361034889,0.625081202,0.533987375,0.533675211,0.492492505,0.363892239,0.430740026,0.5651633
8,0.359813106,0.638432373,0.553116135,0.500000013,0.502894351,0.377201119,0.385708973,0.612238891
9,0.410237402,0.611669372,0.530141243,0.538567479,0.499669961,0.431215845,0.422875117,0.521808343
10,0.456513038,0.618060188,0.550177963,0.532100126,0.597792346,0.473732313,0.517411192,0.542688915
11,0.506702402,0.594431899,0.581552306,0.556804507,0.585803424,0.496332511,0.560172485,0.514541383
12,0.513513531,0.590661483,0.597674425,0.570407735,0.557894723,0.519699823,0.542296689,0.521954946
13,0.527306974,0.558333349,0.537156701,0.568210788,0.556328852,0.565709329,0.540124744,0.537164738
14,0.535531804,0.573116096,0.566015153,0.595276866,0.565105284,0.553154716,0.535439798,0.546493907
15,0.51769701,0.591235054,0.564620358,0.589616807,0.587102184,0.519716425,0.537662339,0.550246487
16,0.493482312,0.602654175,0.580908034,0.587848923,0.579884268,0.521434818,0.542980549,0.550841254
17,0.470370387,0.596755495,0.585660359,0.587096772,0.589256214,0.49108433,0.525167048,0.567704555
18,0.502299896,0.577649972,0.548900676,0.586404576,0.56429157,0.518094373,0.541966422,0.552631582
19,0.449907207,0.532414901,0.465245187,0.53436069,0.572622375,0.529991063,0.476491843,0.492187474
20,0.502338656,0.552058119,0.542393501,0.578816701,0.611377904,0.510777881,0.425327503,0.502363245
21,0.502278947,0.599525121,0.589082634,0.5989054,0.602352072,0.47761926,0.529711373,0.566240041
22,0.502278947,0.599525121,0.589082634,0.5989054,0.602352072,0.47761926,0.529711373,0.566240041
23,0.517663693,0.593393635,0.585156255,0.624140565,0.580897485,0.474559694,0.518229152,0.55604884
24,0.487940643,0.609549481,0.581983407,0.607751931,0.597540991,0.480037131,0.513490353,0.550415612
25,0.536231883,0.605889002,0.592886863,0.588828545,0.578004065,0.483486232,0.528877862,0.574319612
26,0.514938488,0.600753308,0.593258424,0.56439703,0.575878591,0.506874407,0.52124181,0.570870332
27,0.482939628,0.610011198,0.580140725,0.562602972,0.578988343,0.480193226,0.500406158,0.580792158
28,0.505480047,0.621973262,0.586101558,0.575954514,0.582711187,0.520260842,0.539056463,0.546316561
29,0.4020537,0.638461539,0.564065866,0.52669038,0.590309924,0.452015338,0.497981631,0.605590064
30,0.35271613,0.650419127,0.550105128,0.504964557,0.509618741,0.433124084,0.430581292,0.610791169
31,0.359813106,0.638432373,0.553116135,0.500000013,0.502894351,0.377201119,0.385708973,0.612238891
32,0.35280552,0.65453424,0.570247945,0.479757082,0.5293233,0.41519926,0.370415141,0.647159093
33,0.429577472,0.5985267,0.572277232,0.566378056,0.539867105,0.507136863,0.438240281,0.512263488
34,0.508001828,0.579890889,0.58170974,0.591911759,0.585093187,0.557700362,0.502546685,0.539009628
35,0.497115389,0.6,0.574043268,0.603330799,0.589527026,0.589353608,0.506528592,0.530402954
36,0.526364501,0.604900451,0.567783096,0.619654911,0.580008387,0.59575372,0.521032909,0.55068879
37,0.529567511,0.59744649,0.578746159,0.618795001,0.579166662,0.566835891,0.533466932,0.555634292
38,0.517271542,0.567375875,0.569444456,0.594512193,0.605817076,0.537537527,0.516430034,0.531440888
39,0.475022733,0.56790122,0.560629935,0.587745858,0.577453703,0.538326766,0.50370369,0.527836503
40,0.495964133,0.602649008,0.56750574,0.585401452,0.605035397,0.562947368,0.532573288,0.544905948
41,0.521553768,0.605473206,0.579952259,0.622304834,0.609336621,0.600649362,0.525525518,0.538628922
42,0.497115389,0.6,0.574043268,0.603330799,0.589527026,0.589353608,0.506528592,0.530402954
43,0.442234858,0.613914358,0.565833352,0.584666921,0.570298765,0.550227362,0.432809771,0.498746859
44,0.419552806,0.642112586,0.56885247,0.572774866,0.504737303,0.485239075,0.400774848,0.542011024
45,0.419847324,0.615246315,0.572062988,0.562455887,0.495153482,0.494949495,0.378064504,0.588556713
46,0.378757526,0.645641853,0.554419274,0.531025002,0.504459096,0.42618932,0.415558271,0.648409904
47,0.375148867,0.642767306,0.540935698,0.546370963,0.536377718,0.417831318,0.472383137,0.627149314
48,0.420821713,0.653761402,0.561764717,0.588315202,0.572571442,0.448146416,0.529661006,0.594663263
49,0.464238124,0.625312837,0.578947358,0.567447026,0.589020202,0.495652163,0.523531548,0.579939415
50,0.398859169,0.610728533,0.568803885,0.55463576,0.534979426,0.464886265,0.482911149,0.581538454
51,0.482939628,0.610011198,0.580140725,0.562602972,0.578988343,0.480193226,0.500406158,0.580792158
52,0.4949495,0.611500181,0.58430779,0.528493366,0.579446646,0.45761079,0.493670885,0.582938382
53,0.487106012,0.606120034,0.574265304,0.59404388,0.592684954,0.479768794,0.473548371,0.544996412
54,0.533819962,0.596394993,0.575974539,0.609717869,0.575832289,0.477597715,0.512864504,0.517897963
55,0.524752464,0.580761532,0.588258329,0.619347227,0.609555811,0.479050988,0.478771448,0.529761911
56,0.517782893,0.574284603,0.569549604,0.60354554,0.615615634,0.496676169,0.394927545,0.471698111
57,0.526339081,0.583174008,0.558148881,0.582912609,0.536114867,0.545937127,0.434591718,0.463564826
58,0.506660945,0.595768791,0.55076439,0.61334291,0.571185017,0.474039689,0.467922819,0.511964924
59,0.452554748,0.583806277,0.571753984,0.605391219,0.584102764,0.399346103,0.425898595,0.498025141
60,0.484154057,0.580786032,0.572512971,0.615717078,0.587736975,0.463753731,0.472979424,0.520759198
61,0.517343894,0.595210494,0.56676078,0.611239399,0.576774211,0.462025296,0.495010826,0.510248112
62,0.484515464,0.606811146,0.563981045,0.608999215,0.574611177,0.454463491,0.453832717,0.508860748
63,0.504124209,0.607498077,0.574332421,0.581433225,0.546331255,0.524253726,0.443569546,0.543022442
64,0.41382253,0.601982994,0.57238806,0.52090299,0.52695091,0.489608511,0.464138506,0.561263478
65,0.398859169,0.610728533,0.568803885,0.55463576,0.534979426,0.464886265,0.482911149,0.581538454
66,0.435803057,0.613861371,0.562984106,0.58867363,0.562871862,0.515181188,0.513556603,0.580498075
67,0.428092262,0.629968347,0.54078084,0.591892827,0.553852047,0.481921751,0.496983442,0.595966158
68,0.380340121,0.633744856,0.535291868,0.553371758,0.503482185,0.446310445,0.440650403,0.620006274
69,0.397557632,0.607900515,0.56752347,0.570000002,0.488568989,0.494736856,0.415711252,0.613049086
70,0.511718739,0.608009239,0.566775239,0.620598268,0.532985314,0.543370792,0.409326422,0.502505384
71,0.481979826,0.615562414,0.559393445,0.593950861,0.528632284,0.518599567,0.38652935,0.490790905
72,0.472292856,0.595951421,0.553798861,0.583640073,0.564126397,0.564882219,0.405864858,0.469625347
73,0.510183329,0.598894596,0.558080826,0.606158841,0.582446802,0.615866383,0.479840493,0.511111082
74,0.509379525,0.603975534,0.568082577,0.610658775,0.598991181,0.604928141,0.520860208,0.521441442
75,0.506785197,0.589051656,0.557729949,0.589705337,0.587663727,0.587436348,0.509933781,0.52109705
76,0.50738007,0.535417508,0.55127701,0.579107902,0.575441404,0.535897446,0.485903807,0.500693493
77,0.51544149,0.521607263,0.525135345,0.552395206,0.597647066,0.514356021,0.475383377,0.473501907
78,0.536959539,0.587077611,0.56760886,0.59954493,0.617575271,0.585466557,0.505254632,0.511888118
79,0.53519768,0.600299968,0.559935657,0.607209924,0.603208109,0.613034625,0.509795736,0.513167231
80,0.512428295,0.603013166,0.552941179,0.61324304,0.605645493,0.610539323,0.481722186,0.501264916
81,0.475999984,0.590945828,0.539236255,0.603531288,0.570102128,0.582039442,0.397704779,0.460339945
82,0.494969809,0.590538321,0.545182004,0.598710719,0.566172955,0.522178296,0.428940602,0.498487157
83,0.526794735,0.6,0.56887753,0.616804087,0.545665297,0.527111123,0.457749679,0.501340477
84,0.513846131,0.59811985,0.54997837,0.608695658,0.535665601,0.496026174,0.497532501,0.497895147
85,0.458076737,0.608024689,0.557660621,0.589225585,0.531305916,0.502713369,0.451067617,0.534294737
86,0.488636339,0.608678792,0.557507297,0.617994097,0.563106803,0.54124748,0.47936787,0.556678698
87,0.462176668,0.594237693,0.553608662,0.611702122,0.551293486,0.512588105,0.489478509,0.56740519
88,0.378703689,0.587560151,0.542272889,0.551615447,0.498532501,0.480594129,0.472006906,0.579278968
89,0.440178558,0.598160584,0.571051643,0.542880255,0.503534987,0.472609103,0.471682512,0.539835638
90,0.489668424,0.605067061,0.56867376,0.623538303,0.542494725,0.506363651,0.471052614,0.544460634
91,0.476047917,0.613653421,0.556182042,0.647270122,0.531578967,0.488536158,0.474067344,0.52318838
92,0.464234298,0.610798654,0.559080112,0.624495783,0.547071565,0.464317167,0.445116685,0.528223007
93,0.4865135,0.585023403,0.552795022,0.632930509,0.558498877,0.475875133,0.486374135,0.530772107
94,0.404473438,0.554240632,0.542168678,0.603850425,0.523893049,0.44220363,0.437220874,0.505486478
95,0.449645384,0.533244101,0.506297219,0.558306693,0.52669683,0.433114059,0.421077745,0.476562487
96,0.487839779,0.585803424,0.537704915,0.622612677,0.545916033,0.463081151,0.442704051,0.547075605
97,0.464234298,0.610798654,0.559080112,0.624495783,0.547071565,0.464317167,0.445116685,0.528223007
98,0.426788271,0.623740203,0.552470395,0.662393156,0.559617048,0.511324047,0.513217862,0.550091751
99,0.455992068,0.619479041,0.552653752,0.62044343,0.572224619,0.520585535,0.511312198,0.551598818
100,0.409132432,0.599425712,0.543166869,0.57105362,0.52292839,0.459900322,0.471781287,0.564738311
101,0.37005651,0.580374951,0.541052637,0.580893681,0.526100765,0.517688094,0.445096372,0.618246504
102,0.463876415,0.590499576,0.536727879,0.617791167,0.488174071,0.538242282,0.475125491,0.574654025
103,0.512171397,0.596448737,0.551695613,0.627300619,0.542857141,0.550593839,0.503603581,0.563354285
104,0.524414066,0.594583835,0.547250836,0.615832354,0.507299249,0.527536213,0.499571536,0.520599223
105,0.501486636,0.595357847,0.567018683,0.639442997,0.516791025,0.501283162,0.4762551,0.547212729
106,0.525590553,0.593502385,0.573135546,0.613766713,0.532918152,0.540329572,0.487044359,0.536731635
107,0.473684214,0.583843348,0.547738682,0.597428691,0.536363644,0.484123514,0.466280543,0.512923191
