ID Arbol,16-Sep,ene17,17-Sep,ene18,18-Sep,ene19,19-Sep,ene20
1,0.641238987,0.715321898,0.874274671,0.782502055,0.644187033,0.641633749,0.626076281,0.611672282
2,0.685185194,0.745030284,0.890460968,0.794721425,0.690527201,0.686810732,0.666521609,0.635941088
3,0.671342731,0.745614052,0.899856925,0.811468303,0.699059606,0.688212931,0.667565167,0.635531843
4,0.664688408,0.758650541,0.910656154,0.787124515,0.698475003,0.678035438,0.66767633,0.64159292
5,0.675101221,0.754204392,0.911821723,0.800591469,0.700267673,0.67365545,0.681415975,0.636579573
6,0.609217525,0.768882215,0.858064532,0.76880002,0.667111695,0.602708817,0.649362445,0.633921742
7,0.581056476,0.756937146,0.837180018,0.741459668,0.646376789,0.550274253,0.598134816,0.65363127
8,0.56662184,0.75848031,0.855329931,0.733279645,0.638658762,0.580851078,0.589699566,0.671751082
9,0.588800669,0.735427618,0.818256199,0.747360229,0.635120571,0.622317612,0.610451341,0.633629501
10,0.624497116,0.7503618,0.853617013,0.75269711,0.68008709,0.646758556,0.657955468,0.643778324
11,0.666007936,0.7461887,0.908597291,0.782988548,0.68923974,0.666666687,0.675789475,0.621556878
12,0.674059808,0.755259812,0.907450259,0.795290768,0.675228536,0.666666687,0.690860212,0.634946704
13,0.671303511,0.740344405,0.905858755,0.807051897,0.65955478,0.688409209,0.680580795,0.636882901
14,0.690184057,0.745142341,0.913255334,0.807195604,0.677567959,0.684950769,0.684309125,0.644912839
15,0.679373384,0.753292382,0.899950922,0.80196172,0.69045496,0.669099748,0.696275055,0.647722721
16,0.669963539,0.752454102,0.905519187,0.815962493,0.680871248,0.672115386,0.701762736,0.652377248
17,0.638802946,0.759897828,0.889388502,0.793983638,0.686842084,0.652777791,0.67596674,0.650152445
18,0.648662269,0.754225671,0.870879114,0.806903005,0.691013753,0.657000065,0.685452223,0.637659431
19,0.623052955,0.750925899,0.859307408,0.771153867,0.712305069,0.677957773,0.662932813,0.629945695
20,0.648024619,0.732432485,0.887785494,0.795764744,0.711259305,0.679166675,0.635270536,0.630036592
21,0.65295893,0.760452986,0.895974636,0.800176084,0.698480725,0.655096412,0.683325589,0.650145769
22,0.65295893,0.760452986,0.895974636,0.800176084,0.698480725,0.655096412,0.683325589,0.650145769
23,0.673766196,0.759444237,0.903377116,0.803988159,0.678321719,0.653318703,0.676090121,0.64104563
24,0.666493535,0.752620578,0.903946757,0.797227025,0.704416275,0.643298984,0.694964051,0.65573138
25,0.686723053,0.76734525,0.90239495,0.777777791,0.696890056,0.650000036,0.678442001,0.671111166
26,0.67216295,0.770095825,0.899107158,0.771481633,0.681295276,0.670731723,0.660276413,0.665536761
27,0.684890628,0.767842531,0.881750464,0.790467262,0.68451643,0.658008635,0.666215599,0.669751942
28,0.66699028,0.773913026,0.888181806,0.779816568,0.699578047,0.675564647,0.675789475,0.652377248
29,0.597659767,0.767023861,0.851694942,0.743902445,0.668785036,0.624261916,0.636728168,0.680754244
30,0.560458958,0.769640505,0.854926586,0.742200375,0.635468006,0.614798665,0.605317891,0.66896987
31,0.56662184,0.75848031,0.855329931,0.733279645,0.638658762,0.580851078,0.589699566,0.671751082
32,0.556145012,0.763893485,0.87634182,0.703301013,0.634391367,0.613312244,0.584342957,0.718435109
33,0.624000072,0.757085085,0.889576375,0.769356191,0.661290348,0.640767813,0.634615421,0.630525172
34,0.669873416,0.764910817,0.900621116,0.79668051,0.700577557,0.689576685,0.670599341,0.659623504
35,0.687804818,0.773851633,0.904378474,0.81646657,0.697789788,0.712334991,0.667995989,0.652689874
36,0.703665435,0.771018207,0.898599744,0.822710037,0.70072335,0.707405746,0.683725238,0.659735382
37,0.694865525,0.765145242,0.891025662,0.808636785,0.699551582,0.690552294,0.697426796,0.660991311
38,0.675519049,0.748571455,0.876383722,0.798023224,0.709164977,0.686588228,0.668005347,0.643022358
39,0.66308248,0.750215352,0.869811296,0.798628986,0.700084984,0.677974224,0.660909057,0.645540833
40,0.661354601,0.761423349,0.886186302,0.797269344,0.707112968,0.687272727,0.681858838,0.637321293
41,0.70037055,0.758534551,0.905950069,0.815307856,0.713164806,0.720767856,0.690114081,0.654446185
42,0.687804818,0.773851633,0.904378474,0.81646657,0.697789788,0.712334991,0.667995989,0.652689874
43,0.653637409,0.770973146,0.898938894,0.794353187,0.677934289,0.681614339,0.624134541,0.61996901
44,0.621432126,0.770700693,0.884785831,0.774015725,0.641146123,0.645324707,0.612487674,0.648141325
45,0.634953439,0.766417623,0.889374077,0.77190876,0.625823498,0.651115656,0.608433723,0.693045557
46,0.58088237,0.76298815,0.854466259,0.726323962,0.642675698,0.613762498,0.613970578,0.719287455
47,0.588990808,0.755966425,0.845884442,0.735948741,0.667366683,0.60852927,0.629756272,0.704804063
48,0.616152465,0.767833114,0.859894931,0.759217441,0.689725757,0.638004243,0.662955821,0.676686704
49,0.65544951,0.764751554,0.883656561,0.777496815,0.688132882,0.658275306,0.66573596,0.668681145
50,0.614994943,0.762093604,0.877074897,0.796269774,0.676404476,0.645555556,0.649373889,0.674267113
51,0.684890628,0.767842531,0.881750464,0.790467262,0.68451643,0.658008635,0.666215599,0.669751942
52,0.655642092,0.755118489,0.880877733,0.782430649,0.683944404,0.636560321,0.652213156,0.6705966
53,0.682333887,0.757835984,0.878672957,0.788918257,0.703868389,0.642780781,0.654273272,0.641300201
54,0.690080464,0.764400184,0.895693779,0.800175309,0.691968262,0.644562364,0.677603483,0.62893343
55,0.690538406,0.747452378,0.902484775,0.814096928,0.689655185,0.651634753,0.664463699,0.643485188
56,0.689460158,0.741543829,0.894179881,0.816522181,0.709293127,0.651126206,0.621052682,0.615982294
57,0.697685897,0.756470144,0.898970068,0.811555564,0.650120497,0.675221264,0.645518661,0.596268654
58,0.673508346,0.762938261,0.871333957,0.794892311,0.670140505,0.654192388,0.661757231,0.620664716
59,0.640391529,0.72547406,0.882673919,0.779253125,0.694289386,0.605573416,0.629712999,0.625876844
60,0.676211476,0.748792291,0.892307639,0.809062958,0.68565315,0.636868417,0.650589526,0.63868773
61,0.675054729,0.759693205,0.889105082,0.800430119,0.68784529,0.626760542,0.659123719,0.624129951
62,0.669662952,0.765306115,0.89202106,0.784853697,0.676062703,0.626008093,0.647581458,0.630961716
63,0.676581919,0.768518567,0.885441542,0.798981071,0.684018314,0.665647268,0.645885289,0.641538501
64,0.625306547,0.758942485,0.867907822,0.758337379,0.674459636,0.651661336,0.652861774,0.655502439
65,0.614994943,0.762093604,0.877074897,0.796269774,0.676404476,0.645555556,0.649373889,0.674267113
66,0.633507907,0.769519866,0.893333375,0.797639132,0.675170064,0.674242437,0.671510339,0.669507205
67,0.611926198,0.765333354,0.866104841,0.758633792,0.675206661,0.669642866,0.6583125,0.680136979
68,0.569811344,0.761183023,0.853523731,0.758342922,0.638392866,0.638040364,0.636195779,0.696310937
69,0.613577008,0.767591476,0.879647732,0.780477941,0.630041718,0.647513807,0.639940977,0.700374544
70,0.687193453,0.770992398,0.914427876,0.817409754,0.670977831,0.680861533,0.617443025,0.634098887
71,0.660743177,0.773361504,0.901386738,0.790994048,0.685803831,0.668269217,0.623304904,0.629688144
72,0.651083291,0.775675714,0.90419805,0.805970192,0.689759076,0.688539743,0.622363925,0.609561801
73,0.697767615,0.779437602,0.913178265,0.83518523,0.69435215,0.719235897,0.663346648,0.635001957
74,0.690732777,0.763025224,0.90178138,0.816360593,0.713513553,0.712532878,0.683809519,0.643441021
75,0.688516021,0.754042566,0.890736341,0.811304748,0.698915064,0.697685003,0.663474739,0.642369032
76,0.673323095,0.729826152,0.868433535,0.783039212,0.694432497,0.672405779,0.647058845,0.621581078
77,0.659047604,0.72126931,0.849038959,0.745791256,0.69679302,0.659325838,0.656547368,0.591470242
78,0.687595725,0.751639366,0.872262776,0.792605221,0.718236804,0.701373518,0.672204792,0.635400891
79,0.687334359,0.774636209,0.894479752,0.808960319,0.718552053,0.717259347,0.668355644,0.636643589
80,0.675847471,0.766708195,0.897868097,0.808519602,0.71377939,0.713534832,0.674931109,0.635433078
81,0.663098574,0.763440847,0.892672896,0.827160478,0.69015497,0.702800333,0.566297114,0.59166348
82,0.682899237,0.758340836,0.915074289,0.83025831,0.690562129,0.681707919,0.640138388,0.624436259
83,0.693774521,0.774264455,0.918876767,0.831036031,0.670340717,0.681017637,0.641730309,0.635377586
84,0.681093395,0.777777791,0.926842332,0.816153526,0.673267305,0.658031106,0.657398224,0.639715135
85,0.661987007,0.778156996,0.920771956,0.784124374,0.670243919,0.667214036,0.652482331,0.663615584
