ID arbol,16-Sep,ene17,17-Sep,ene18,18-Sep,ene19,19-Sep,ene20
1,0.233108103,0.261261851,0.262276649,0.305091292,0.262603104,0.252507031,0.24616982,0.266223907
2,0.248002216,0.289939284,0.29701218,0.31163004,0.292624265,0.277837485,0.264894068,0.279320985
3,0.235943362,0.291461617,0.288928717,0.301099896,0.28691411,0.258705765,0.252917498,0.286767542
4,0.235684663,0.295484543,0.298183262,0.298979193,0.295641065,0.262677461,0.263979286,0.301067084
5,0.235347345,0.291858792,0.28207171,0.310398757,0.288391262,0.255228698,0.262585133,0.275891125
6,0.195034504,0.337338716,0.276320964,0.307751358,0.263306439,0.209772021,0.230398715,0.273563206
7,0.182955906,0.357266635,0.291061878,0.295457423,0.256784976,0.181314275,0.222986251,0.331771135
8,0.183139548,0.371141613,0.299463183,0.273385882,0.268547148,0.170578375,0.201550916,0.371651381
9,0.215566531,0.350092769,0.292104274,0.29681173,0.282814443,0.208418071,0.230754539,0.301989913
10,0.227951974,0.346933663,0.296927035,0.283679277,0.329092294,0.216372237,0.281333685,0.308861852
11,0.235009655,0.30948028,0.303443313,0.277733296,0.297858268,0.216110706,0.283869684,0.269461066
12,0.242253914,0.300792605,0.305145115,0.275850385,0.276706815,0.233034223,0.267288834,0.269129813
13,0.235822573,0.271621644,0.266853929,0.272745818,0.262844235,0.267196506,0.263133019,0.276346892
14,0.241786659,0.283098608,0.283535361,0.294125527,0.269209772,0.26251027,0.256197214,0.282135367
15,0.231141999,0.296404779,0.280497581,0.289013058,0.284650803,0.242455557,0.254856348,0.284994096
16,0.22243984,0.306268185,0.296357393,0.28886497,0.269697785,0.245402128,0.257758021,0.292086899
17,0.21284917,0.305376202,0.304313719,0.291978598,0.288274944,0.216042399,0.244099393,0.303014696
18,0.228324488,0.283696532,0.284367621,0.288632095,0.277747929,0.23618266,0.271127701,0.29838711
19,0.203325868,0.263926089,0.222804621,0.260032445,0.287302017,0.24550733,0.219217956,0.26599282
20,0.225693479,0.274404943,0.268653721,0.282931089,0.322109759,0.229184195,0.200411528,0.280331552
21,0.229774818,0.301913112,0.305184603,0.304048687,0.318417311,0.207095116,0.254486144,0.311177284
22,0.229774818,0.301913112,0.305184603,0.304048687,0.318417311,0.207095116,0.254486144,0.311177284
23,0.231433392,0.300079554,0.297222227,0.321737975,0.284897029,0.206558779,0.245208099,0.292678177
24,0.220514268,0.312557608,0.293387353,0.310290217,0.293951631,0.216801792,0.245194271,0.294129014
25,0.246392891,0.314747006,0.307536304,0.300475061,0.285513073,0.220194981,0.259024769,0.31388253
26,0.241616264,0.312540829,0.309778363,0.277493924,0.288246274,0.230994135,0.25698173,0.308445305
27,0.227285191,0.319069952,0.294522345,0.27584815,0.294848084,0.210891083,0.247654781,0.316503257
28,0.237536058,0.332367718,0.302204996,0.285044223,0.294831008,0.234434038,0.275639325,0.290235072
29,0.202734992,0.367980301,0.303310245,0.284250945,0.318368107,0.199463576,0.263495147,0.355839431
30,0.181639075,0.382252783,0.299847215,0.273145795,0.278088808,0.190284252,0.226529032,0.364200532
31,0.183139548,0.371141613,0.299463183,0.273385882,0.268547148,0.170578375,0.201550916,0.371651381
32,0.181136534,0.386192679,0.30585894,0.267830223,0.275718004,0.187761948,0.184266806,0.401056349
33,0.201320142,0.315942973,0.288039863,0.303010792,0.263228923,0.245461941,0.211026624,0.27922079
34,0.231876999,0.29500398,0.29201597,0.312823832,0.285839528,0.27001217,0.241435558,0.290700674
35,0.219067797,0.300798923,0.279578596,0.312876195,0.28420195,0.284036905,0.233693391,0.28098321
36,0.238341257,0.311350495,0.284496546,0.323245496,0.28065303,0.286131889,0.253546834,0.29862088
