Idshp,Produccion,Kg arbol,Campo,Marco,Lon,Lat,DEM,slope,aspect,tri,tpi,roughness,flowdir,NDVISep,gNDVISep,SAVISep,NDVIEne,gNDVIEne,SAVIEne,DifNDVISepEne,DifgNDVISepEne,DifSAVISepEne,DG10ABRNOV,DG10ABROCT,DG10AGOOCT,DG10MAYNOV,DG10MAYOCT,DG12ABRNOV,DG12ABROCT,DG12AGOOCT,DG12MAYNOV,DG12MAYOCT,DG15ABRNOV,DG15ABROCT,DG15AGOOCT,DG15MAYNOV,DG15MAYOCT,CH10ABRNOV,CH10ABROCT,CH10AGOOCT,CH10MAYNOV,CH10MAYOCT,CH12ABRNOV,CH12ABROCT,CH12AGOOCT,CH12MAYNOV,CH12MAYOCT,CH15ABRNOV,CH15ABROCT,CH15AGOOCT,CH15MAYNOV,CH15MAYOCT,CH10ago,CH12ago,CH15ago,CH10sep,CH12sep,CH15sep,CH10oct,CH12oct,CH15oct,CH10nov,CH12nov,CH15nov
3,2019,150.2,Freirina,100,-71.09372529,-28.5001799,81,2.298403281,288.4349488,2,2,4,16,0.59277918,0.699059606,0.28691411,0.54838708,0.688212931,0.258705765,-0.0443921,-0.010846674,-0.028208345,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
4,2019,149.3,Freirina,100,-71.09375735,-28.5002516,80,1.71353711,261.8698976,0.75,0.5,3,16,0.602137291,0.698475003,0.295641065,0.540709802,0.678035438,0.262677461,-0.061427489,-0.020439565,-0.032963604,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
5,2019,98.6,Freirina,100,-71.09378959,-28.50033231,80,1.71353711,261.8698976,0.75,0.5,3,16,0.594311982,0.700267673,0.288391262,0.523019475,0.67365545,0.255228698,-0.071292507,-0.026612222,-0.033162564,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
6,2019,119.4,Freirina,100,-71.09382218,-28.50043106,80,1.71353711,261.8698976,0.75,0.5,3,16,0.535245904,0.667111695,0.263306439,0.419432217,0.602708817,0.209772021,-0.115813687,-0.064402878,-0.053534418,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
7,2019,118.4,Freirina,100,-71.09383417,-28.50052111,80,1.454105826,270,0.75,0.5,3,32,0.492492505,0.646376789,0.256784976,0.363892239,0.550274253,0.181314275,-0.128600266,-0.096102536,-0.075470701,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
8,2019,116.6,Freirina,100,-71.09385638,-28.500611,80,1.454105826,270,0.75,0.5,3,32,0.502894351,0.638658762,0.268547148,0.377201119,0.580851078,0.170578375,-0.125693232,-0.057807684,-0.097968772,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
9,2019,135.4,Freirina,100,-71.09387858,-28.50070089,80,1.454105826,270,0.75,0.5,3,32,0.499669961,0.635120571,0.282814443,0.431215845,0.622317612,0.208418071,-0.068454116,-0.012802958,-0.074396372,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
10,2019,96.9,Freirina,100,-71.09392139,-28.50079949,79,1.845447935,293.1985905,1.125,-1.125,3,16,0.597792346,0.68008709,0.329092294,0.473732313,0.646758556,0.216372237,-0.124060033,-0.033328533,-0.112720057,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
13,2019,37.5,Freirina,100,-71.09397743,-28.50105128,80,1.454105826,270,0.75,0.5,3,32,0.556328852,0.65955478,0.262844235,0.565709329,0.688409209,0.267196506,0.009380477,0.02885443,0.004352272,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
14,2019,113,Freirina,100,-71.09400967,-28.50113199,80,1.454105826,270,0.75,0.5,3,32,0.565105284,0.677567959,0.269209772,0.553154716,0.684950769,0.26251027,-0.011950568,0.00738281,-0.006699502,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
