entidad,campo,tipo,descripcion,ejemplo
arbol,id_arbol,uuid,Identificador unico del arbol,a1b2-...
arbol,codigo_qr,texto,Codigo QR fisico asociado,BRZ-OLI-00123
arbol,lat,decimal,Latitud WGS84,-33.4513
arbol,lon,decimal,Longitud WGS84,-70.6653
arbol,variedad,texto,Variedad de olivo,Arbequina
arbol,fecha_plantacion,fecha,Fecha de plantacion,2019-08-12
arbol,id_territorio,uuid,Territorio/cuartel al que pertenece,...
monitoreo,id_monitoreo,uuid,Identificador del evento de monitoreo,...
monitoreo,id_arbol,uuid,Arbol monitoreado,...
monitoreo,fecha,timestamp,Fecha y hora del monitoreo,2026-05-20T10:30
monitoreo,tipo,texto,Tipo (fitosanitario/quintral/riego),quintral
monitoreo,severidad,entero,Escala 0-5,3
monitoreo,id_usuario,uuid,Operador que registra,...
monitoreo,foto_url,texto,URL de evidencia,...
tarea,id_tarea,uuid,Identificador de tarea,...
tarea,id_proyecto,uuid,Proyecto asociado,...
tarea,estado,texto,pendiente/en_proceso/validada/cerrada,en_proceso
tarea,asignado_a,uuid,Usuario responsable,...
activo,id_activo,uuid,Identificador de activo/inventario,...
activo,categoria,texto,dron/herramienta/insumo,dron
territorio,id_territorio,uuid,Identificador del territorio,...
territorio,geometria,geojson,Poligono del cuartel/predio,...
usuario,id_usuario,uuid,Identificador de usuario,...
usuario,rol,texto,admin/agronomo/operador/cliente,operador
